No,Kabupaten/Kota,IKA,IKU,IKL,Sampah Tidak Terkelola (%),Jumlah Kendaraan Bermotor,Kepadatan Penduduk per km (Jiwa),Rumah Tangga yang memiliki akses terhadap sanitasi layak (%),Indeks Pembangunan Manusia,IKLH
1,Kabupaten Banjarnegara,51.24,92,75.29,"21,25",968.313,"872,00","83,25","72,55",73.01
2,Kabupaten Banyumas,55.14,88.58,47.46,"2,00",911.167,"1.328,00","83,25","74,52",67
3,Kabupaten Batang,58.68,80.61,44.58,"84,42",470.476,"1.288,00","82,01","70,97",64.47
4,Kabupaten Blora,53.4,91.36,67.36,"99,70",427.114,"924,00","52,40","69,62",71.83
5,Kabupaten Boyolali,60.59,83.34,40.91,"21,91",642.851,"1.060,00","93,43","72,48",65.49
6,Kabupaten Brebes,61.16,90.71,48.96,"53,04",399.42,"735,00","84,64","75,16",70.46
7,Kabupaten Cilacap,48.97,89.62,44.42,"85,73",360.006,"910,00","63,81","70,63",64.43
8,Kabupaten Demak,55.61,72.53,27.28,"51,09",631.755,"1.187,00","83,77","72,10",56.26
9,Kabupaten Grobogan,52.58,90.8,57.83,"38,40",619.942,"1.003,00","88,26","75,96",69.21
10,Kabupaten Jepara,49,87.42,42.61,"40,33",912.678,"1.851,00","97,86","78,16",63.16
11,Kabupaten Karanganyar,50,91.21,65.68,"20,93",688.006,"1.908,00","97,08","79,30",70.12
12,Kabupaten Kebumen,53.11,91.42,58.73,"43,56",504.238,"553,00","96,25","72,54",69.86
13,Kabupaten Kendal,42.38,81.24,39.68,"99,93",636.899,"1.198,00","98,54","78,11",57.53
14,Kabupaten Klaten,53.85,86.15,27.2,"29,81",692.582,"1.010,00","95,71","75,53",61.09
15,Kabupaten Kudus,54.29,91.47,32.11,"46,94",759.819,"744,00","93,94","72,02",64.49
16,Kabupaten Magelang,54.88,92.06,52.41,"0,80",454.628,"464,00","90,81","71,42",69.4
17,Kabupaten Pati,50,86.52,36.74,"85,52",338.173,"641,00","94,89","72,53",61.89
18,Kabupaten Pekalongan,46.36,74.61,57.27,"57,07",804.837,"872,00","96,33","74,10",60.19
19,Kabupaten Pemalang,48.33,92.83,50.39,"36,17",634.503,"1.974,00","95,90","77,21",66.81
20,Kabupaten Purbalingga,55,91.04,43.62,"45,27",769.609,"1.208,00","68,05","74,32",67.1
21,Kabupaten Purworejo,41.43,88.18,68.68,"99,93",701.031,"1.281,00","95,13","74,57",66.33
22,Kabupaten Rembang,52.86,90.17,48.23,"85,58",643.68,"1.069,00","86,32","75,67",66.96
23,Kabupaten Rembang,51.86,88.46,50.96,"68,61",352.736,"942,00","71,77","71,86",66.49
24,Kabupaten Sragen,51.05,91.05,55.78,"99,26",650.182,"1.056,00","83,05","74,34",68.29
25,Kabupaten Sukoharjo,52.33,89.47,32.67,"78,11",418.434,"978,00","65,92","70,73",63.07
26,Kabupaten Tegal,49.41,85.21,40.42,"93,45",207.249,"1.141,00","82,61","71,95",61.94
27,Kabupaten Temanggung,59.63,87.84,46.81,"71,84",681.652,"1.355,00","84,32","68,65",68.25
28,Kabupaten Wonogiri,53.16,92.76,36.72,"82,76",757.356,"1.702,00","87,09","71,70",65.6
29,Kabupaten Wonosobo,51.15,92.05,66.67,"98,18",819.422,"1.185,00","85,85","70,18",71.11
30,Kota Magelang,56.67,86.83,35.88,"5,16",127.514,"6.596,00","88,55","82,15",64.33
31,Kota Pekalongan,50.56,84.98,26.14,"1,65",649.657,"11.302,00","85,07","84,41",59.15
32,Kota Salatiga,48.67,87.8,34.67,"1,84",170.602,"3.661,00","96,28","85,72",61.45
33,Kota Semarang,45.56,86.9,31.04,"71,92",1.985.109,"4.618,00","95,83","85,24",59.12
34,Kota Surakarta,50,93.04,31.71,"81,52",230.608,"6.950,00","89,38","77,21",63.42
35,Kota Tegal,50,90.75,23.84,"74,02",213.539,"7.316,00","92,48","77,50",60.78
